code,current,name,name_short,name_tv,gender,function,country_code,country,country_long,nationality,nationality_long,nationality_code,height,weight,disciplines,events,birth_date,birth_place,birth_country,residence_place,residence_country,nickname,hobbies,occupation,education,family,lang,coach,reason,hero,influence,philosophy,sporting_relatives,ritual,other_sports
1533239,TRUE,GONZALEZ Itzamary,GONZALEZ I,Itzamary GONZALEZ,Female,Athlete,MEX,Mexico,Mexico,Mexico,Mexico,MEX,0,0,['Artistic Swimming'],['Team'],11/14/03,,,,,,,Athlete,,,Spanish,National: Adriana Loftus (MEX),,,,,,,
1533240,TRUE,RODRIGUEZ Samanta,RODRIGUEZ S,Samanta RODRIGUEZ,Female,Athlete,MEX,Mexico,Mexico,Mexico,Mexico,MEX,0,0,['Artistic Swimming'],['Team'],12/5/94,,,,,Samanta,,Athlete,,,Spanish,National: Adriana Loftus (MEX),"Her mother enrolled her in swimming lessons because she herself did not know how to swim and worried for her children at the beach. When Rubio was a strong enough swimmer, her mother was given a choice between the aquatic sports, and she picked artistic swimming",,,"""Be brave."" (Facebook profile)",,,
1533243,TRUE,INZUNZA Glenda,INZUNZA G,Glenda INZUNZA,Female,Alternate Athlete,MEX,Mexico,Mexico,Mexico,Mexico,MEX,0,0,['Artistic Swimming'],['Team'],3/12/00,,,,,,,,,,,,,,,,,,
1533245,TRUE,SEHEN Sajjad,SEHEN S,Sajjad SEHEN,Male,Athlete,IRQ,Iraq,Iraq,Iraq,Iraq,IRQ,0,0,['Judo'],['Men -81 kg'],3/8/96,,Iraq,,Iraq,,,,,,Arabic,,,,,,,,
1533359,TRUE,RUBAIAWI Ali Ammar Yusur,RUBAIAWI AAY,Ali Ammar Yusur RUBAIAWI,Male,Athlete,IRQ,Iraq,Iraq,Iraq,Iraq,IRQ,0,0,['Weightlifting'],"[""Men's +102kg""]",8/2/04,,,BAGHDAD,Iraq,,,Athlete,,,Arabic,,,,,,,,
1533364,TRUE,ISMAIL Mohamed,ISMAIL M,Mohamed ISMAIL,Male,Athlete,DJI,Djibouti,Djibouti,Djibouti,Djibouti,DJI,170,0,['Athletics'],"[""Men's 5000m""]",1/1/97,,Djibouti,ALI SABIEH,Djibouti,Fatah,,"Athlete, sport soldier",,Married. Two children. The third of 10 children,"French, Somali",Personal: Hussein Shibo (ETH),"Attended a primary school located three kilometres from his home, which helped build his endurance. Was spotted in middle school during sports classes and got selected to join the sport-study training programme in Ali-Sabieh","Middle-distance runner Ayanleh Souleiman (DJI), 2016 Olympic 1500m finalist, 2013 World Championships 800m bronze medallist, 2014 World Indoor Championships 1500m gold medallist",,,,,
1533371,TRUE,HASSAN Ibrahim,HASSAN I,Ibrahim HASSAN,Male,Athlete,DJI,Djibouti,Djibouti,Djibouti,Djibouti,DJI,170,0,['Athletics'],"[""Men's Marathon""]",1/1/97,,,,Djibouti,Ougas,,"Athlete, soldier with the Djiboutian Republican Guard",,Married. One daughter,Somali,,,"Marathoner Ahmed Salah (DJI), 1988 Olympic bronze medallist, four-time Olympian (1984, 1988, 1992, 1996), two-time world championships silver medallist (1987, 1991)",,,,,
1533372,TRUE,WAISS Abdi,WAISS A,Abdi WAISS,Male,Athlete,DJI,Djibouti,Djibouti,Djibouti,Djibouti,DJI,170,0,['Athletics'],"[""Men's 5000m""]",7/3/96,,Djibouti,,,,,"Athlete, sport soldier",,"Wife, Nadine Nasri (2022)","French, Somali",Personal: Hussein Shibo (ETH),,,,,,,
1533374,TRUE,HASSAN NOUR Samiyah,HASSAN NOUR S,Samiyah HASSAN NOUR,Female,Athlete,DJI,Djibouti,Djibouti,Djibouti,Djibouti,DJI,160,0,['Athletics'],"[""Women's 5000m""]",12/5/99,,,,,,,"Athlete, sport soldier",,,,Personal: Hussein Shibo (ETH),,,,,,,
1533378,TRUE,HOUSSEIN BARKAT Houmed,HOUSSEIN BARKAT H,Houmed HOUSSEIN BARKAT,Male,Athlete,DJI,Djibouti,Djibouti,Djibouti,Djibouti,DJI,0,0,['Swimming'],"[""Men's 50m Freestyle""]",4/4/04,,,DJIBOUTI,Djibouti,,,,,,"English, French",,,,,,,,
1535180,TRUE,BARAT Andy,BARAT A,Andy BARAT,Male,Athlete,COM,Comoros,Comoros,Comoros,Comoros,COM,0,0,['Canoe Slalom'],"[""Men's Kayak Single"", ""Men's Kayak Cross""]",11/29/97,ANJOUAN,Comoros,,France,,,,,,French,Personal: Lukas Jacob,"Was introduced to canoeing by his cousin, a member of the Club de Canoe-Kayak de Clisson in Loire-Atlantique",,,,,,
